Supermercado,Producto,Precio,Descripción,URL
Coto,Resaltador FILGO Lighter Fine Varios Colores 2 Unidades,"$ 1.031,25",,https://www.cotodigital.com.ar/sitios/cdigi/productos/resaltador-filgo-lighter-fine-varios-colores-2-unidades/_/R-00268457-00268457-200
Día,PEPITOS,$ 4.645,N/A,https://diaonline.supermercadosdia.com.ar/galletitas-pepitos-con-chips-de-chocolate-357g-pack-x-3-ud-de-119-gr-271632/p
Carrefour,Celular libre Samsung galaxy a06 64gb negro,"$ 189.000,00",N/A,https://www.carrefour.com.ar/celular-libre-samsung-galaxy-a06-64gb-negro/p
